1,1,"CHEESE,BAKED",100,100,100,100,100,100,100,100,65,75,100,100,75,80,80,80,75,55,100,100,100,100,100,100,100,100
3,1,"CHEESE,BROILED",100,100,100,100,100,100,100,100,65,75,100,100,75,80,80,80,75,55,100,100,100,100,100,100,100,100
5,1,"CHEESE,COOKED W/LIQUID",100,100,100,100,100,100,100,100,65,75,100,100,75,80,80,80,75,55,100,100,100,100,100,100,100,100
7,1,"CHEESE,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,95,95,95,95,95,95,100,100,100,100,100,100,100,100
101,1,"EGGS,BAKED",100,100,100,100,100,100,100,100,80,80,95,90,95,75,75,75,80,80,100,100,100,100,100,100,100,100
103,1,"EGGS,FRIED,SCRAMBLED",100,100,100,100,100,100,100,100,80,85,95,95,95,75,75,75,85,85,100,100,100,100,100,100,100,100
105,1,"EGGS,HARD COOKED",100,100,100,100,100,100,100,100,80,85,95,95,95,75,75,75,80,85,100,100,100,100,100,100,100,100
107,1,"EGGS,POACHED",100,100,100,100,100,100,100,100,80,80,85,85,85,75,75,75,80,80,100,100,100,100,100,100,100,100
109,1,"EGGS,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,95,95,95,95,85,95,100,100,100,100,100,100,100,100
2151,1,"MILK,HEATED APPROX 10MIN",100,100,100,100,100,100,100,100,85,90,100,100,90,85,85,85,90,80,100,100,100,100,100,100,100,100
2152,1,"MILK,HEATED APPROX 30MIN",100,100,100,100,100,100,100,100,65,75,100,100,75,80,80,80,75,55,100,100,100,100,100,100,100,100
2153,1,"MILK,HEATED APPROX 1 HOUR",100,100,100,100,100,100,100,100,45,60,100,100,55,70,70,70,60,30,100,100,100,100,100,100,100,100
2154,1,"MILK,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,95,95,95,95,95,95,100,100,100,100,100,100,100,100
801,5,"CHICKEN,BROILED",95,90,75,80,80,80,100,95,80,70,90,80,80,60,60,60,70,65,75,75,100,75,75,75,75,75
803,5,"CHICKEN,FRIED,WO/COATING",95,90,75,80,80,80,100,95,80,70,90,80,80,60,60,60,70,65,75,75,100,75,75,75,75,75
804,5,"CHICKEN,FRIED,W/COATING",95,90,75,80,80,80,100,95,80,70,90,80,80,60,60,60,70,65,75,75,100,75,75,75,75,75
805,5,"CHICKEN,ROASTED",95,90,75,80,80,80,100,95,80,70,90,80,80,60,60,60,70,65,75,75,100,75,75,75,75,75
851,5,"CHICKEN,BROWN,SIMMER,WO/DRIPPINGS",80,90,65,70,60,70,100,90,80,55,95,60,50,60,60,60,70,50,75,75,100,75,75,75,75,75
852,5,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",100,100,100,100,100,100,100,100,85,75,100,95,65,70,70,70,70,65,80,80,100,80,80,80,80,80
